id,name,symbol,price,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,volume_24h,last_updated
0,Bitcoin,BTC,34141.04199151691,-24.0831,0.47984792,-1.974405,18.5959128,29.93443594,30.84412575,16.57191046,666596777688.6754,20495932084.287003,2023-10-26 20:12:00
1,Ethereum,ETH,1797.2886295283197,13.866,0.68365267,0.2712397,14.40108502,12.96918016,8.69527579,-4.0414988,216141945590.20053,11239137447.814486,2023-10-26 20:12:00
2,Tether USDt,USDT,1.0001626417995921,-8.2993,-0.00020146,-0.021073,-0.03633654,0.04099241,0.06558914,0.01917989,84405286807.37949,35115988716.451256,2023-10-26 20:11:00
3,BNB,BNB,222.7962199825616,11.207,0.36592945,-0.31987002,5.70588052,4.96992365,1.85170612,-8.15579147,33799168240.45038,458858226.23043454,2023-10-26 20:11:00
4,XRP,XRP,0.5515947739479151,-1.9508,0.05130295,-0.91742687,12.77069117,9.07963103,5.11707621,-22.41050606,29543696511.298325,1427734143.2521842,2023-10-26 20:12:00
5,USDC,USDC,1.000099285146475,-10.294,-0.00616007,0.00600962,0.00260445,-0.0062047,0.01031884,0.00111415,25057200045.725906,5118077918.039342,2023-10-26 20:11:00
6,Solana,SOL,31.65724197514146,-36.7289,0.74678595,-3.90014938,25.72066007,64.50641999,52.5475046,26.55330644,13233265517.142456,957046444.463182,2023-10-26 20:12:00
7,Dogecoin,DOGE,0.07183970593148364,117.032,0.81526366,5.15552654,22.38043375,18.81274386,13.93412581,-7.09962362,10170667314.015043,1048969614.9250381,2023-10-26 20:12:00
8,Cardano,ADA,0.284394412597662,21.6843,-0.14834168,1.26819823,16.02912886,16.22509747,8.3695948,-8.53419414,10020920815.978355,299346674.3619631,2023-10-26 20:11:00
9,TRON,TRX,0.09236612232803991,-12.0917,0.01193963,-1.44122309,3.02779587,9.06288352,19.24104771,9.0222313,8205594466.261465,206091585.52255085,2023-10-26 20:11:00
10,Toncoin,TON,2.1049623465825165,3.0752,0.09784026,-1.74391022,0.87086638,-1.53262718,41.2434933,65.20427558,7224003621.974566,43289402.93859507,2023-10-26 20:12:00
11,Chainlink,LINK,10.722620132983621,-41.2069,1.54398559,-3.76660143,45.55760747,44.41941559,78.40644212,37.31469407,5970890704.228385,731750936.0708276,2023-10-26 20:11:00
12,Polygon,MATIC,0.6308108532888173,-12.8427,0.50041146,-0.22759035,21.71850978,22.17759968,13.43449933,-11.28049605,5872724800.067018,324191845.23595655,2023-10-26 20:11:00
13,Wrapped Bitcoin,WBTC,34015.904846353355,-10.4891,0.09556206,-2.05038808,18.39533135,29.7302488,30.2756878,16.06253199,5577053322.698307,203951193.3682822,2023-10-26 20:12:00
14,Dai,DAI,1.0003475994627515,23.7025,0.03461642,0.02354013,-0.00427934,0.03898128,0.05741871,0.07018374,5349747518.949144,205545387.52462357,2023-10-26 20:11:00
15,Polkadot,DOT,4.239677097219832,-1.1556,0.60176017,-1.88464464,16.23649529,5.53141419,-5.66802696,-18.49649292,5338477810.954433,194285658.49415383,2023-10-26 20:11:00
16,Litecoin,LTC,68.19519297467325,3.1914,0.27142385,-0.68296413,10.94242851,6.60332233,4.43662659,-25.25836831,5033140794.176806,388086169.7853324,2023-10-26 20:12:00
17,Bitcoin Cash,BCH,245.7948309094603,-6.572,0.28319823,-3.17924581,7.14712078,14.6985653,25.57925489,1.37084432,4803390179.211173,206289626.469102,2023-10-26 20:11:00
18,Shiba Inu,SHIB,7.83906282438801e-06,49.5718,0.11220567,0.91286542,15.27614932,8.04630353,-2.85096458,-5.78100823,4619927489.153983,342098953.1926312,2023-10-26 20:11:00
19,Avalanche,AVAX,10.789532436579927,70.1307,0.84361181,3.00721316,18.98249442,20.0307505,5.90046385,-18.31192818,3830640192.801591,390901229.88797915,2023-10-26 20:11:00
20,UNUS SED LEO,LEO,3.942584927418557,37.7738,0.74240953,-1.21409585,4.20827039,8.18302002,3.48322989,-0.8018087,3661594565.236901,817957.26468083,2023-10-26 20:11:00
21,TrueUSD,TUSD,0.9991875872247412,-19.6023,0.06497042,-0.04531113,-0.13383745,0.05147111,-0.02914494,0.0199582,3357178816.5322676,324205838.45545536,2023-10-26 20:11:00
22,Stellar,XLM,0.11207211357601211,0.4891,0.21295754,-2.14225388,7.54070681,-0.36353812,-6.81099785,-30.46710353,3119377638.094009,110439358.21267965,2023-10-26 20:11:00
23,Monero,XMR,158.7712010306718,-5.4162,0.70462871,-0.50684404,4.37937664,9.69403205,9.08226862,-2.6030323,2913431798.4472446,83541640.9218962,2023-10-26 20:12:00
24,OKB,OKB,45.181499610595075,2.3694,0.24028794,-1.3209875,1.90445618,4.63817993,5.23320065,5.33773066,2710889976.6357045,6921133.90283998,2023-10-26 20:11:00
25,Cosmos,ATOM,7.027014711859464,12.3996,0.41841423,-0.86691304,12.41625158,0.44586278,-2.12649216,-22.03398151,2610218337.3638,131263878.30949734,2023-10-26 20:11:00
26,Uniswap,UNI,4.09140252842052,12.5868,0.29913297,-2.84297952,4.1973585,-3.80097054,-12.61249613,-31.58905008,2406509843.2600145,156983290.59460416,2023-10-26 20:11:00
27,Ethereum Classic,ETC,16.435255011878393,53.9097,0.29138397,0.46830021,11.03296268,8.77028063,3.20858384,-11.11271484,2361850883.051142,242530918.12257776,2023-10-26 20:12:00
28,BUSD,BUSD,1.0005282407281157,-9.8352,0.01944975,0.00371811,-0.00307473,0.01834929,0.0238181,0.04843064,2063690582.4494328,551843754.8974321,2023-10-26 20:11:00
29,Hedera,HBAR,0.05209464843771746,89.6292,0.20947903,1.15234997,12.99069996,5.21344671,-10.48241242,-0.85317797,1746764938.4013004,91851698.98814383,2023-10-26 20:11:00
30,Filecoin,FIL,3.7025329521409134,-10.4625,0.39327053,-1.55708114,16.24559386,16.18257377,12.31871095,-16.02181653,1707518255.596916,135772727.50856635,2023-10-26 20:12:00
31,Lido DAO,LDO,1.8267141895301588,-2.0031,0.90763598,-1.45511663,23.38305148,25.29045164,14.85108656,-4.6426831,1626168183.1605208,62471819.91809807,2023-10-26 20:11:00
32,Aptos,APT,6.449538735262891,-21.9231,0.46953792,-4.04314783,29.92101498,20.23500034,13.33015552,-8.30621858,1591088769.5668485,215598409.40026283,2023-10-26 20:12:00
33,Internet Computer,ICP,3.5224672202071035,17.8902,0.6285939,-1.57294423,17.78603981,19.50794305,-0.04050966,-18.55154928,1575734160.4279156,35698961.96273675,2023-10-26 20:11:00
34,Cronos,CRO,0.05853105287793057,74.718,0.48777027,0.29086154,13.89398831,16.90012419,14.64482648,-1.67090554,1478670790.262336,11950548.19010133,2023-10-26 20:11:00
35,Maker,MKR,1413.2247131266117,-13.791,0.15829423,-2.00279556,1.08942958,-0.37813434,32.59166462,21.27152455,1381612341.7385933,96809730.61265317,2023-10-26 20:11:00
36,VeChain,VET,0.01869514791470816,0.3796,0.42583534,-1.72439268,15.61526748,12.52337307,16.63209972,0.63383927,1359408647.7581663,64194979.65059032,2023-10-26 20:12:00
37,Quant,QNT,105.66153395945973,16.4425,0.07421341,0.09661875,23.84991935,22.95902657,3.38216341,-0.94682223,1275624016.17066,30169481.84792456,2023-10-26 20:12:00
38,Optimism,OP,1.404981173566614,64.6741,0.74651968,2.15538619,18.95395418,10.17544099,-2.57409082,-4.6673376,1237008048.0289152,159684574.25666717,2023-10-26 20:11:00
39,Arbitrum,ARB,0.9460088214600437,78.1394,0.94537132,4.42724371,22.24166288,14.92096865,-0.85259906,-19.33692447,1206161247.3615558,452807446.1822383,2023-10-26 20:11:00
40,Aave,AAVE,80.05600518759675,-4.8747,0.50993896,-3.71251032,24.77970687,30.82568375,37.81114845,9.84992022,1168111208.4550564,161170585.47928685,2023-10-26 20:12:00
41,Mantle,MNT,0.37578852824292375,56.9219,0.240453,0.33800158,13.84612664,-3.76949158,-13.87904538,-27.41432983,1167195412.7211194,86938814.54001954,2023-10-26 20:11:00
42,NEAR Protocol,NEAR,1.1796468870382983,40.4972,-0.11279727,3.3324204,20.70591995,8.38240916,-0.11688315,-15.03010591,1165866300.4694393,107371581.29259,2023-10-26 20:11:00
43,Injective,INJ,11.896011940542355,-31.4217,0.5080809,-1.44404381,39.24167195,67.10175664,71.31655632,47.10696332,996357090.2181197,79748892.41767143,2023-10-26 20:12:00
44,The Graph,GRT,0.09932348291288795,-7.3419,1.04730952,-0.29173527,28.31685579,13.32364914,11.67227235,-11.41600356,921054624.2785717,85145806.90864542,2023-10-26 20:11:00
45,Stacks,STX,0.6412216080346894,-22.3348,0.10141815,-5.7248986,13.06804987,38.26550823,36.69647202,7.04690776,907385340.0378007,64442807.58664856,2023-10-26 20:11:00
46,Bitcoin SV,BSV,46.66408193364911,-8.4927,0.34076834,-6.20406551,7.90546974,50.97237112,49.93141277,33.10220794,899033779.0667344,82202504.62546688,2023-10-26 20:11:00
47,Algorand,ALGO,0.100650125434697,12.8523,0.32510999,-0.39363512,13.62107164,3.7644771,5.82896371,-8.78486504,797692565.7206069,48263698.14645099,2023-10-26 20:11:00
48,Render,RNDR,2.1232642416613423,4.2987,0.75466358,2.12354461,8.66245747,42.19631085,49.34347813,17.49061506,789659919.6574905,59576192.51636378,2023-10-26 20:11:00
49,Immutable,IMX,0.6440072081173108,-3.9183,0.51159375,1.63930806,23.84881421,8.94806824,12.12317849,-13.50932123,778537905.6216377,27245123.4364276,2023-10-26 20:11:00
50,THORChain,RUNE,2.277680206205083,-5.3364,1.93546903,4.82096833,44.93121382,31.83259417,54.91246221,146.48104086,772893064.1468406,129690552.27221455,2023-10-26 20:12:00
51,MultiversX,EGLD,28.867675333847117,9.069,0.49911365,-0.17456863,21.95391581,17.43076739,14.93004972,-11.44997971,754304764.2748123,27731357.91243904,2023-10-26 20:11:00
52,USDD,USDD,0.9991149705115432,1.3312,0.07440183,-0.06286112,-0.10432096,0.13500983,0.07272377,0.01452233,726455608.4150351,15053668.59778813,2023-10-26 20:11:00
53,XDC Network,XDC,0.04947175839057129,187.8732,-0.09758122,-0.26376918,6.35878778,1.58140082,-4.09307734,-17.24012062,686314723.1975162,8434259.2949682,2023-10-26 20:11:00
54,Axie Infinity,AXS,4.841229672589143,121.4905,0.29955848,3.41001014,16.92581621,7.24504357,-0.72396797,-20.52427625,684124927.2023966,75223796.2686098,2023-10-26 20:11:00
55,The Sandbox,SAND,0.3289523835826868,22.0748,0.15310377,-1.13657007,16.33029491,8.69338836,1.35530391,-23.42846488,681270888.6070051,86158873.38638723,2023-10-26 20:12:00
56,Tezos,XTZ,0.7030075987863419,5.9124,0.15705534,-1.00158708,13.03790955,7.17008805,0.69304431,-15.02717189,673218468.3169909,29966519.37261919,2023-10-26 20:11:00
57,EOS,EOS,0.5972920757917511,22.2576,0.4441004,0.45835019,11.91009244,6.23689188,1.2614676,-20.02548683,660979083.6418533,121144080.19890213,2023-10-26 20:11:00
58,Decentraland,MANA,0.3465125805179246,9.2568,0.70890861,-0.02225157,24.54135659,15.89041259,15.48650732,-10.75582695,655981362.0479492,117755211.33984683,2023-10-26 20:11:00
59,Theta Network,THETA,0.6467961323699096,20.4571,0.74970961,-1.77332547,14.17593084,0.6064468,5.17089002,-18.39792002,646796132.3699096,18681093.6066317,2023-10-26 20:11:00
60,Mina,MINA,0.6425382395704003,-61.3328,0.35782195,-8.32502615,68.02180314,72.79598239,65.05029167,43.75590203,637012603.3687859,171391001.82494023,2023-10-26 20:11:00
61,Synthetix,SNX,2.326062956230181,12.5412,0.14342071,-0.62939815,22.07563388,16.88061836,10.14227282,-16.210815,635649771.0707313,56346188.21665694,2023-10-26 20:11:00
62,Bitget Token,BGB,0.4481286854185766,-12.1115,0.17768598,1.02594686,9.13916281,0.30175687,4.13471178,-1.90632518,627380159.5860072,18227777.96959496,2023-10-26 20:11:00
63,Fantom,FTM,0.22208736845365232,8.2378,0.33309791,-2.96531149,25.63238372,17.65972073,10.20403655,-9.97368964,622651882.7270893,81546101.12668309,2023-10-26 20:11:00
64,Neo,NEO,7.955514416215198,8.4642,1.02042956,2.92159332,21.71721086,10.08267176,10.28938361,-9.03667168,561172686.9234675,48793730.16290903,2023-10-26 20:11:00
65,Kava,KAVA,0.6288764518290998,-13.7443,0.20365912,-1.918006,10.11433571,0.42820776,-7.65467961,-28.25921885,551410670.685991,22384707.15003867,2023-10-26 20:11:00
66,eCash,XEC,2.716500215783848e-05,-2.024,0.31571625,-2.64109859,6.6261721,13.59862011,12.78382189,-9.38332728,530700872.31928205,13733021.73767817,2023-10-26 20:11:00
67,Flow,FLOW,0.5046284577139832,42.0142,0.73449955,-1.46350008,19.37887671,14.57500932,11.5224914,-13.36885057,522896007.88322943,68693233.3399351,2023-10-26 20:11:00
68,Pepe,PEPE,1.2347014486767708e-06,-8.5906,1.29850818,4.27463089,96.04423672,77.42225323,37.7651458,-8.08409253,514738533.8679234,372117663.6871674,2023-10-26 20:11:00
69,Conflux,CFX,0.149626322277432,-33.1346,0.7875309,-4.71246539,46.32547733,20.05094482,16.87825518,-13.9465979,503064050.0470799,100253513.41707881,2023-10-26 20:12:00
70,Tether Gold,XAUt,1986.5258119498878,-6.0278,-0.19695998,0.30510143,1.03375957,4.22949495,3.54621166,1.56175229,489726289.26513416,4922987.60526029,2023-10-26 20:12:00
71,PAX Gold,PAXG,1965.0306607692057,-6.5367,-0.02186878,-0.01831727,0.25048235,3.34589485,3.26534289,0.84413395,486227017.70809543,8516146.65707692,2023-10-26 20:11:00
72,Chiliz,CHZ,0.06407484375445055,60.7097,-0.34605868,-3.21157608,15.18981374,11.13098196,2.74342859,-17.32312719,484731308.66249454,106239138.29033622,2023-10-26 20:11:00
73,Rocket Pool,RPL,24.479465670235843,-15.0417,0.83807006,-5.58232158,32.47771828,13.39864451,6.36416523,-17.38106922,483915467.55345744,8285123.663855,2023-10-26 20:11:00
74,Pax Dollar,USDP,0.9994223430650488,-0.1172,0.39724339,0.25523649,-0.11805908,0.35730853,0.29717288,0.50957418,483442025.6001304,1576303.02587665,2023-10-26 20:12:00
75,ApeCoin,APE,1.3043934603233025,-23.7998,0.90206542,-1.67999226,22.60912749,16.57587228,-8.39052871,-33.82358724,480791277.0160423,75942715.47877021,2023-10-26 20:11:00
76,IOTA,IOTA,0.15625971889574441,1.9055,0.18126211,0.33538814,10.55948119,5.0662153,4.43943709,-10.35752138,465765684.4143553,11285684.72578495,2023-10-26 20:11:00
77,Gala,GALA,0.01804222126608427,205.6655,0.96887741,12.59178959,41.43231445,35.09057027,-6.14369149,-23.0508261,455651684.9124198,335518974.6568686,2023-10-26 20:11:00
78,Zcash,ZEC,27.798470197022205,9.7758,0.86683118,1.13095634,10.92142959,5.55607812,11.57331563,-8.92938626,453900892.21584404,49429912.1203645,2023-10-26 20:11:00
79,KuCoin Token,KCS,4.5953251578741146,4.7255,0.29371149,-0.12864644,2.85398015,4.17940615,2.57355539,-21.94067818,444519525.62812537,1210915.02929519,2023-10-26 20:12:00
80,Frax Share,FXS,5.932189349131946,-5.1616,0.56902997,0.02592464,12.83587798,0.18908513,0.40361109,-6.52885543,444211635.9238025,34296202.81638238,2023-10-26 20:11:00
